Part,Value,Qty,Note
MEMS Microphone,Vesper VM3011,16,Replace SPU0410; recovers instantly from acoustic overload
Transducer,Murata MA40S4S,16,No change
T/R Switch,MAX14759ETA+,16,No change
Charge Amp OPA,OPA145IDBVR,16,No change
BPF Op‑Amp,OPA2325IDGKR,16,No change
TX FET,EPC2032 (GaN),16,Replace DRV8870; fast edges, low heat
Gate Driver,LMG1210,16,GaN‑specific half‑bridge driver
ADC,ADS127L11,2,No change
FPGA Board,Arty A7‑35T,1,No change
Environmental Sensor,Bosch BME280,1,Add for sound‑speed correction
TEC Module,Peltier 40x40mm 12V 6A,1,TX array cooling
Power Sequencer,UCD90120A,1,Strict power‑up timing
LNA (ELINT),Mini‑Circuits PSA4‑5043+,4,One per dipole element
